LC,DC,Y,M,D
PL,ME,2019,1,41
PL,AD,2019,1,0
PL,HU,2019,1,34
PL,HR,2019,1,34
PL,BA,2019,1,64
PL,RS,2019,1,84
PL,FR,2019,1,48
PL,AL,2019,1,54
PL,CH,2019,1,21
PL,MK,2019,1,43
PL,DK,2019,1,13
PL,IE,2019,1,21
PL,RO,2019,1,40
PL,DE,2019,1,45
PL,MD,2019,1,36
PL,AT,2019,1,38
PL,CZ,2019,1,39
PL,NO,2019,1,6
PL,EE,2019,1,19
PL,SK,2019,1,26
PL,BG,2019,1,21
PL,ES,2019,1,9
PL,BE,2019,1,8
PL,NL,2019,1,11
PL,LT,2019,1,22
PL,FI,2019,1,7
PL,GB,2019,1,20
PL,SE,2019,1,13
PL,SI,2019,1,19
PL,UA,2019,1,10
PL,IT,2019,1,23
PL,LV,2019,1,15
PL,GR,2019,1,5
PL,IS,2019,1,6
PL,TR,2019,1,7
PL,PT,2019,1,4
PL,CY,2019,1,3
PL,KZ,2019,1,7
PL,RU,2019,1,13
PL,BY,2019,1,7
PL,AZ,2019,1,8
PL,GE,2019,1,3
PL,AM,2019,1,0
PL,LU,2019,1,0
PL,ME,2019,2,8
PL,AD,2019,2,0
PL,HU,2019,2,32
PL,HR,2019,2,26
PL,BA,2019,2,29
PL,RS,2019,2,53
PL,FR,2019,2,50
PL,AL,2019,2,13
PL,CH,2019,2,21
PL,MK,2019,2,11
PL,DK,2019,2,14
PL,IE,2019,2,28
PL,RO,2019,2,32
PL,DE,2019,2,50
PL,MD,2019,2,22
PL,AT,2019,2,35
PL,CZ,2019,2,35
PL,NO,2019,2,16
PL,EE,2019,2,13
PL,SK,2019,2,22
PL,BG,2019,2,23
PL,ES,2019,2,9
PL,BE,2019,2,9
PL,NL,2019,2,14
PL,LT,2019,2,17
PL,FI,2019,2,5
PL,GB,2019,2,9
PL,SE,2019,2,8
PL,SI,2019,2,16
PL,UA,2019,2,12
PL,IT,2019,2,16
PL,LV,2019,2,8
PL,GR,2019,2,7
PL,IS,2019,2,9
PL,TR,2019,2,7
PL,PT,2019,2,0
PL,CY,2019,2,7
PL,KZ,2019,2,6
PL,RU,2019,2,13
PL,BY,2019,2,4
PL,AZ,2019,2,9
PL,GE,2019,2,11
PL,AM,2019,2,0
PL,LU,2019,2,0
PL,ME,2019,3,62
PL,AD,2019,3,0
PL,HU,2019,3,36
PL,HR,2019,3,36
PL,BA,2019,3,84
PL,RS,2019,3,74
PL,FR,2019,3,46
PL,AL,2019,3,53
PL,CH,2019,3,18
PL,MK,2019,3,24
PL,DK,2019,3,10
PL,IE,2019,3,23
PL,RO,2019,3,27
PL,DE,2019,3,49
PL,MD,2019,3,59
PL,AT,2019,3,30
PL,CZ,2019,3,39
PL,NO,2019,3,9
PL,EE,2019,3,13
PL,SK,2019,3,30
PL,BG,2019,3,27
PL,ES,2019,3,7
PL,BE,2019,3,9
PL,NL,2019,3,13
PL,LT,2019,3,22
PL,FI,2019,3,6
PL,GB,2019,3,15
PL,SE,2019,3,6
PL,SI,2019,3,16
PL,UA,2019,3,23
PL,IT,2019,3,11
PL,LV,2019,3,17
PL,GR,2019,3,8
PL,IS,2019,3,6
PL,TR,2019,3,13
PL,PT,2019,3,3
PL,CY,2019,3,8
PL,KZ,2019,3,7
PL,RU,2019,3,15
PL,BY,2019,3,8
PL,AZ,2019,3,0
PL,GE,2019,3,4
PL,AM,2019,3,0
PL,LU,2019,3,0
PL,ME,2019,4,57
PL,AD,2019,4,9
PL,HU,2019,4,34
PL,HR,2019,4,35
PL,BA,2019,4,79
PL,RS,2019,4,83
PL,FR,2019,4,42
PL,AL,2019,4,37
PL,CH,2019,4,16
PL,MK,2019,4,26
PL,DK,2019,4,12
PL,IE,2019,4,16
PL,RO,2019,4,34
PL,DE,2019,4,44
PL,MD,2019,4,51
PL,AT,2019,4,24
PL,CZ,2019,4,35
PL,NO,2019,4,12
PL,EE,2019,4,17
PL,SK,2019,4,28
PL,BG,2019,4,26
PL,ES,2019,4,8
PL,BE,2019,4,9
PL,NL,2019,4,8
PL,LT,2019,4,35
PL,FI,2019,4,11
PL,GB,2019,4,13
PL,SE,2019,4,11
PL,SI,2019,4,18
PL,UA,2019,4,26
PL,IT,2019,4,14
PL,LV,2019,4,19
PL,GR,2019,4,15
PL,IS,2019,4,4
PL,TR,2019,4,12
PL,PT,2019,4,4
PL,CY,2019,4,9
PL,KZ,2019,4,13
PL,RU,2019,4,23
PL,BY,2019,4,14
PL,AZ,2019,4,0
PL,GE,2019,4,5
PL,AM,2019,4,0
PL,LU,2019,4,2
PL,ME,2019,5,71
PL,AD,2019,5,18
PL,HU,2019,5,38
PL,HR,2019,5,41
PL,BA,2019,5,88
PL,RS,2019,5,81
PL,FR,2019,5,42
PL,AL,2019,5,70
PL,CH,2019,5,15
PL,MK,2019,5,34
PL,DK,2019,5,11
PL,IE,2019,5,13
PL,RO,2019,5,38
PL,DE,2019,5,36
PL,MD,2019,5,24
PL,AT,2019,5,19
PL,CZ,2019,5,35
PL,NO,2019,5,8
PL,EE,2019,5,17
PL,SK,2019,5,35
PL,BG,2019,5,20
PL,ES,2019,5,10
PL,BE,2019,5,5
PL,NL,2019,5,6
PL,LT,2019,5,44
PL,FI,2019,5,12
PL,GB,2019,5,15
PL,SE,2019,5,15
PL,SI,2019,5,18
PL,UA,2019,5,22
PL,IT,2019,5,14
PL,LV,2019,5,22
PL,GR,2019,5,7
PL,IS,2019,5,3
PL,TR,2019,5,12
PL,PT,2019,5,0
PL,CY,2019,5,15
PL,KZ,2019,5,11
PL,RU,2019,5,22
PL,BY,2019,5,9
PL,AZ,2019,5,3
PL,GE,2019,5,3
PL,AM,2019,5,0
PL,LU,2019,5,0
PL,ME,2019,6,29
PL,AD,2019,6,21
PL,HU,2019,6,37
PL,HR,2019,6,34
PL,BA,2019,6,50
PL,RS,2019,6,52
PL,FR,2019,6,51
PL,AL,2019,6,18
PL,CH,2019,6,22
PL,MK,2019,6,20
PL,DK,2019,6,21
PL,IE,2019,6,17
PL,RO,2019,6,29
PL,DE,2019,6,48
PL,MD,2019,6,41
PL,AT,2019,6,24
PL,CZ,2019,6,39
PL,NO,2019,6,6
PL,EE,2019,6,15
PL,SK,2019,6,38
PL,BG,2019,6,12
PL,ES,2019,6,12
PL,BE,2019,6,11
PL,NL,2019,6,13
PL,LT,2019,6,44
PL,FI,2019,6,12
PL,GB,2019,6,13
PL,SE,2019,6,16
PL,SI,2019,6,12
PL,UA,2019,6,13
PL,IT,2019,6,21
PL,LV,2019,6,29
PL,GR,2019,6,3
PL,IS,2019,6,8
PL,TR,2019,6,20
PL,PT,2019,6,5
PL,CY,2019,6,3
PL,KZ,2019,6,9
PL,RU,2019,6,18
PL,BY,2019,6,15
PL,AZ,2019,6,0
PL,GE,2019,6,0
PL,AM,2019,6,0
PL,LU,2019,6,4
PL,ME,2019,7,12
PL,AD,2019,7,0
PL,HU,2019,7,46
PL,HR,2019,7,35
PL,BA,2019,7,39
PL,RS,2019,7,62
PL,FR,2019,7,63
PL,AL,2019,7,7
PL,CH,2019,7,17
PL,MK,2019,7,11
PL,DK,2019,7,17
PL,IE,2019,7,12
PL,RO,2019,7,48
PL,DE,2019,7,52
PL,MD,2019,7,45
PL,AT,2019,7,29
PL,CZ,2019,7,37
PL,NO,2019,7,9
PL,EE,2019,7,34
PL,SK,2019,7,32
PL,BG,2019,7,14
PL,ES,2019,7,25
PL,BE,2019,7,13
PL,NL,2019,7,15
PL,LT,2019,7,55
PL,FI,2019,7,21
PL,GB,2019,7,12
PL,SE,2019,7,6
PL,SI,2019,7,12
PL,UA,2019,7,28
PL,IT,2019,7,18
PL,LV,2019,7,42
PL,GR,2019,7,9
PL,IS,2019,7,0
PL,TR,2019,7,13
PL,PT,2019,7,11
PL,CY,2019,7,0
PL,KZ,2019,7,5
PL,RU,2019,7,13
PL,BY,2019,7,11
PL,AZ,2019,7,0
PL,GE,2019,7,4
PL,AM,2019,7,0
PL,LU,2019,7,3
PL,ME,2019,8,11
PL,AD,2019,8,0
PL,HU,2019,8,47
PL,HR,2019,8,32
PL,BA,2019,8,40
PL,RS,2019,8,55
PL,FR,2019,8,41
PL,AL,2019,8,19
PL,CH,2019,8,11
PL,MK,2019,8,11
PL,DK,2019,8,16
PL,IE,2019,8,7
PL,RO,2019,8,52
PL,DE,2019,8,40
PL,MD,2019,8,54
PL,AT,2019,8,20
PL,CZ,2019,8,35
PL,NO,2019,8,11
PL,EE,2019,8,25
PL,SK,2019,8,36
PL,BG,2019,8,24
PL,ES,2019,8,13
PL,BE,2019,8,8
PL,NL,2019,8,9
PL,LT,2019,8,48
PL,FI,2019,8,16
PL,GB,2019,8,13
PL,SE,2019,8,10
PL,SI,2019,8,13
PL,UA,2019,8,60
PL,IT,2019,8,14
PL,LV,2019,8,31
PL,GR,2019,8,13
PL,IS,2019,8,4
PL,TR,2019,8,14
PL,PT,2019,8,6
PL,CY,2019,8,16
PL,KZ,2019,8,7
PL,RU,2019,8,16
PL,BY,2019,8,7
PL,AZ,2019,8,0
PL,GE,2019,8,5
PL,AM,2019,8,0
PL,LU,2019,8,0
PL,ME,2019,9,46
PL,AD,2019,9,0
PL,HU,2019,9,71
PL,HR,2019,9,47
PL,BA,2019,9,69
PL,RS,2019,9,76
PL,FR,2019,9,67
PL,AL,2019,9,70
PL,CH,2019,9,28
PL,MK,2019,9,45
PL,DK,2019,9,30
PL,IE,2019,9,17
PL,RO,2019,9,77
PL,DE,2019,9,69
PL,MD,2019,9,55
PL,AT,2019,9,47
PL,CZ,2019,9,58
PL,NO,2019,9,12
PL,EE,2019,9,17
PL,SK,2019,9,61
PL,BG,2019,9,61
PL,ES,2019,9,45
PL,BE,2019,9,24
PL,NL,2019,9,26
PL,LT,2019,9,49
PL,FI,2019,9,17
PL,GB,2019,9,10
PL,SE,2019,9,17
PL,SI,2019,9,33
PL,UA,2019,9,59
PL,IT,2019,9,49
PL,LV,2019,9,33
PL,GR,2019,9,43
PL,IS,2019,9,0
PL,TR,2019,9,31
PL,PT,2019,9,21
PL,CY,2019,9,19
PL,KZ,2019,9,9
PL,RU,2019,9,28
PL,BY,2019,9,12
PL,AZ,2019,9,0
PL,GE,2019,9,5
PL,AM,2019,9,2
PL,LU,2019,9,5
PL,ME,2019,10,51
PL,AD,2019,10,0
PL,HU,2019,10,52
PL,HR,2019,10,42
PL,BA,2019,10,59
PL,RS,2019,10,76
PL,FR,2019,10,59
PL,AL,2019,10,70
PL,CH,2019,10,29
PL,MK,2019,10,35
PL,DK,2019,10,25
PL,IE,2019,10,21
PL,RO,2019,10,66
PL,DE,2019,10,69
PL,MD,2019,10,80
PL,AT,2019,10,35
PL,CZ,2019,10,48
PL,NO,2019,10,13
PL,EE,2019,10,16
PL,SK,2019,10,49
PL,BG,2019,10,50
PL,ES,2019,10,35
PL,BE,2019,10,22
PL,NL,2019,10,26
PL,LT,2019,10,35
PL,FI,2019,10,6
PL,GB,2019,10,10
PL,SE,2019,10,12
PL,SI,2019,10,24
PL,UA,2019,10,66
PL,IT,2019,10,35
PL,LV,2019,10,27
PL,GR,2019,10,33
PL,IS,2019,10,5
PL,TR,2019,10,41
PL,PT,2019,10,10
PL,CY,2019,10,11
PL,KZ,2019,10,11
PL,RU,2019,10,36
PL,BY,2019,10,23
PL,AZ,2019,10,3
PL,GE,2019,10,5
PL,AM,2019,10,4
PL,LU,2019,10,4
PL,ME,2019,11,45
PL,AD,2019,11,3
PL,HU,2019,11,43
PL,HR,2019,11,32
PL,BA,2019,11,72
PL,RS,2019,11,79
PL,FR,2019,11,51
PL,AL,2019,11,61
PL,CH,2019,11,19
PL,MK,2019,11,38
PL,DK,2019,11,19
PL,IE,2019,11,17
PL,RO,2019,11,45
PL,DE,2019,11,60
PL,MD,2019,11,62
PL,AT,2019,11,25
PL,CZ,2019,11,46
PL,NO,2019,11,10
PL,EE,2019,11,18
PL,SK,2019,11,40
PL,BG,2019,11,33
PL,ES,2019,11,16
PL,BE,2019,11,14
PL,NL,2019,11,19
PL,LT,2019,11,29
PL,FI,2019,11,7
PL,GB,2019,11,16
PL,SE,2019,11,13
PL,SI,2019,11,15
PL,UA,2019,11,65
PL,IT,2019,11,22
PL,LV,2019,11,21
PL,GR,2019,11,13
PL,IS,2019,11,0
PL,TR,2019,11,15
PL,PT,2019,11,5
PL,CY,2019,11,5
PL,KZ,2019,11,10
PL,RU,2019,11,33
PL,BY,2019,11,26
PL,AZ,2019,11,2
PL,GE,2019,11,7
PL,AM,2019,11,2
PL,LU,2019,11,3
PL,ME,2019,12,39
PL,AD,2019,12,0
PL,HU,2019,12,30
PL,HR,2019,12,35
PL,BA,2019,12,49
PL,RS,2019,12,62
PL,FR,2019,12,44
PL,AL,2019,12,39
PL,CH,2019,12,10
PL,MK,2019,12,31
PL,DK,2019,12,11
PL,IE,2019,12,10
PL,RO,2019,12,31
PL,DE,2019,12,52
PL,MD,2019,12,32
PL,AT,2019,12,20
PL,CZ,2019,12,32
PL,NO,2019,12,10
PL,EE,2019,12,16
PL,SK,2019,12,23
PL,BG,2019,12,28
PL,ES,2019,12,17
PL,BE,2019,12,15
PL,NL,2019,12,21
PL,LT,2019,12,26
PL,FI,2019,12,7
PL,GB,2019,12,10
PL,SE,2019,12,9
PL,SI,2019,12,13
PL,UA,2019,12,46
PL,IT,2019,12,19
PL,LV,2019,12,17
PL,GR,2019,12,10
PL,IS,2019,12,0
PL,TR,2019,12,48
PL,PT,2019,12,4
PL,CY,2019,12,6
PL,KZ,2019,12,12
PL,RU,2019,12,31
PL,BY,2019,12,26
PL,AZ,2019,12,0
PL,GE,2019,12,7
PL,AM,2019,12,3
PL,LU,2019,12,0
ME,PL,2019,1,0
AD,PL,2019,1,0
HU,PL,2019,1,10
HR,PL,2019,1,2
BA,PL,2019,1,3
RS,PL,2019,1,6
FR,PL,2019,1,20
AL.,PL,2019,1,3
CH,PL,2019,1,13
MK,PL,2019,1,0
DK,PL,2019,1,6
IE,PL,2019,1,8
RO,PL,2019,1,14
DE,PL,2019,1,25
MD,PL,2019,1,19
AT,PL,2019,1,24
CZ,PL,2019,1,41
NO,PL,2019,1,13
EE,PL,2019,1,17
SK,PL,2019,1,43
BG,PL,2019,1,23
ES,PL,2019,1,41
BE,PL,2019,1,22
NL,PL,2019,1,25
LT,PL,2019,1,69
FI,PL,2019,1,18
GB,PL,2019,1,20
SE,PL,2019,1,25
SI,PL,2019,1,27
UA,PL,2019,1,54
IT,PL,2019,1,32
LV,PL,2019,1,64
GR,PL,2019,1,10
IS,PL,2019,1,0
TR,PL,2019,1,45
PT,PL,2019,1,11
CY,PL,2019,1,42
KZ,PL,2019,1,0
RU,PL,2019,1,94
BY,PL,2019,1,79
AZ,PL,2019,1,40
GE,PL,2019,1,73
AM,PL,2019,1,53
LU,PL,2019,1,12
ME,PL,2019,2,0
AD,PL,2019,2,0
HU,PL,2019,2,4
HR,PL,2019,2,3
BA,PL,2019,2,4
RS,PL,2019,2,15
FR,PL,2019,2,9
AL.,PL,2019,2,0
CH,PL,2019,2,3
MK,PL,2019,2,0
DK,PL,2019,2,0
IE,PL,2019,2,6
RO,PL,2019,2,11
DE,PL,2019,2,6
MD,PL,2019,2,60
AT,PL,2019,2,9
CZ,PL,2019,2,19
NO,PL,2019,2,7
EE,PL,2019,2,49
SK,PL,2019,2,27
BG,PL,2019,2,10
ES,PL,2019,2,17
BE,PL,2019,2,4
NL,PL,2019,2,8
LT,PL,2019,2,77
FI,PL,2019,2,24
GB,PL,2019,2,14
SE,PL,2019,2,12
SI,PL,2019,2,7
UA,PL,2019,2,40
IT,PL,2019,2,24
LV,PL,2019,2,88
GR,PL,2019,2,7
IS,PL,2019,2,0
TR,PL,2019,2,29
PT,PL,2019,2,12
CY,PL,2019,2,0
KZ,PL,2019,2,68
RU,PL,2019,2,87
BY,PL,2019,2,89
AZ,PL,2019,2,0
GE,PL,2019,2,30
AM,PL,2019,2,9
LU,PL,2019,2,5
ME,PL,2019,3,0
AD,PL,2019,3,0
HU,PL,2019,3,4
HR,PL,2019,3,4
BA,PL,2019,3,0
RS,PL,2019,3,24
FR,PL,2019,3,15
AL.,PL,2019,3,21
CH,PL,2019,3,4
MK,PL,2019,3,10
DK,PL,2019,3,0
IE,PL,2019,3,5
RO,PL,2019,3,11
DE,PL,2019,3,9
MD,PL,2019,3,23
AT,PL,2019,3,10
CZ,PL,2019,3,17
NO,PL,2019,3,7
EE,PL,2019,3,48
SK,PL,2019,3,27
BG,PL,2019,3,17
ES,PL,2019,3,24
BE,PL,2019,3,9
NL,PL,2019,3,14
LT,PL,2019,3,86
FI,PL,2019,3,25
GB,PL,2019,3,20
SE,PL,2019,3,16
SI,PL,2019,3,22
UA,PL,2019,3,40
IT,PL,2019,3,44
LV,PL,2019,3,91
GR,PL,2019,3,17
IS,PL,2019,3,0
TR,PL,2019,3,16
PT,PL,2019,3,25
CY,PL,2019,3,0
KZ,PL,2019,3,0
RU,PL,2019,3,84
BY,PL,2019,3,95
AZ,PL,2019,3,0
GE,PL,2019,3,0
AM,PL,2019,3,0
LU,PL,2019,3,13
ME,PL,2019,4,0
AD,PL,2019,4,0
HU,PL,2019,4,7
HR,PL,2019,4,7
BA,PL,2019,4,13
RS,PL,2019,4,16
FR,PL,2019,4,13
AL.,PL,2019,4,0
CH,PL,2019,4,7
MK,PL,2019,4,3
DK,PL,2019,4,4
IE,PL,2019,4,2
RO,PL,2019,4,14
DE,PL,2019,4,18
MD,PL,2019,4,14
AT,PL,2019,4,17
CZ,PL,2019,4,27
NO,PL,2019,4,4
EE,PL,2019,4,36
SK,PL,2019,4,32
BG,PL,2019,4,27
ES,PL,2019,4,33
BE,PL,2019,4,18
NL,PL,2019,4,26
LT,PL,2019,4,53
FI,PL,2019,4,24
GB,PL,2019,4,20
SE,PL,2019,4,13
SI,PL,2019,4,25
UA,PL,2019,4,32
IT,PL,2019,4,51
LV,PL,2019,4,61
GR,PL,2019,4,27
IS,PL,2019,4,0
TR,PL,2019,4,19
PT,PL,2019,4,25
CY,PL,2019,4,69
KZ,PL,2019,4,18
RU,PL,2019,4,87
BY,PL,2019,4,93
AZ,PL,2019,4,26
GE,PL,2019,4,14
AM,PL,2019,4,0
LU,PL,2019,4,28
ME,PL,2019,5,2
AD,PL,2019,5,0
HU,PL,2019,5,7
HR,PL,2019,5,10
BA,PL,2019,5,11
RS,PL,2019,5,15
FR,PL,2019,5,15
AL.,PL,2019,5,20
CH,PL,2019,5,4
MK,PL,2019,5,4
DK,PL,2019,5,2
IE,PL,2019,5,2
RO,PL,2019,5,7
DE,PL,2019,5,24
MD,PL,2019,5,4
AT,PL,2019,5,21
CZ,PL,2019,5,46
NO,PL,2019,5,3
EE,PL,2019,5,11
SK,PL,2019,5,37
BG,PL,2019,5,25
ES,PL,2019,5,36
BE,PL,2019,5,23
NL,PL,2019,5,28
LT,PL,2019,5,47
FI,PL,2019,5,14
GB,PL,2019,5,28
SE,PL,2019,5,6
SI,PL,2019,5,34
UA,PL,2019,5,22
IT,PL,2019,5,48
LV,PL,2019,5,49
GR,PL,2019,5,46
IS,PL,2019,5,0
TR,PL,2019,5,25
PT,PL,2019,5,29
CY,PL,2019,5,56
KZ,PL,2019,5,18
RU,PL,2019,5,75
BY,PL,2019,5,45
AZ,PL,2019,5,0
GE,PL,2019,5,45
AM,PL,2019,5,0
LU,PL,2019,5,44
ME,PL,2019,6,0
AD,PL,2019,6,0
HU,PL,2019,6,9
HR,PL,2019,6,11
BA,PL,2019,6,6
RS,PL,2019,6,14
FR,PL,2019,6,13
AL.,PL,2019,6,13
CH,PL,2019,6,3
MK,PL,2019,6,20
DK,PL,2019,6,0
IE,PL,2019,6,4
RO,PL,2019,6,20
DE,PL,2019,6,19
MD,PL,2019,6,31
AT,PL,2019,6,23
CZ,PL,2019,6,35
NO,PL,2019,6,6
EE,PL,2019,6,4
SK,PL,2019,6,30
BG,PL,2019,6,56
ES,PL,2019,6,18
BE,PL,2019,6,11
NL,PL,2019,6,13
LT,PL,2019,6,40
FI,PL,2019,6,5
GB,PL,2019,6,17
SE,PL,2019,6,9
SI,PL,2019,6,39
UA,PL,2019,6,51
IT,PL,2019,6,37
LV,PL,2019,6,27
GR,PL,2019,6,71
IS,PL,2019,6,22
TR,PL,2019,6,52
PT,PL,2019,6,19
CY,PL,2019,6,60
KZ,PL,2019,6,92
RU,PL,2019,6,69
BY,PL,2019,6,84
AZ,PL,2019,6,4
GE,PL,2019,6,25
AM,PL,2019,6,0
LU,PL,2019,6,22
ME,PL,2019,7,0
AD,PL,2019,7,0
HU,PL,2019,7,10
HR,PL,2019,7,11
BA,PL,2019,7,24
RS,PL,2019,7,15
FR,PL,2019,7,12
AL.,PL,2019,7,10
CH,PL,2019,7,4
MK,PL,2019,7,21
DK,PL,2019,7,4
IE,PL,2019,7,9
RO,PL,2019,7,31
DE,PL,2019,7,17
MD,PL,2019,7,31
AT,PL,2019,7,24
CZ,PL,2019,7,31
NO,PL,2019,7,10
EE,PL,2019,7,4
SK,PL,2019,7,40
BG,PL,2019,7,60
ES,PL,2019,7,8
BE,PL,2019,7,12
NL,PL,2019,7,16
LT,PL,2019,7,21
FI,PL,2019,7,5
GB,PL,2019,7,16
SE,PL,2019,7,21
SI,PL,2019,7,37
UA,PL,2019,7,46
IT,PL,2019,7,43
LV,PL,2019,7,13
GR,PL,2019,7,48
IS,PL,2019,7,75
TR,PL,2019,7,63
PT,PL,2019,7,5
CY,PL,2019,7,75
KZ,PL,2019,7,0
RU,PL,2019,7,64
BY,PL,2019,7,23
AZ,PL,2019,7,0
GE,PL,2019,7,0
AM,PL,2019,7,0
LU,PL,2019,7,22
ME,PL,2019,8,0
AD,PL,2019,8,0
HU,PL,2019,8,10
HR,PL,2019,8,9
BA,PL,2019,8,24
RS,PL,2019,8,12
FR,PL,2019,8,13
AL.,PL,2019,8,0
CH,PL,2019,8,4
MK,PL,2019,8,6
DK,PL,2019,8,5
IE,PL,2019,8,4
RO,PL,2019,8,19
DE,PL,2019,8,22
MD,PL,2019,8,34
AT,PL,2019,8,21
CZ,PL,2019,8,30
NO,PL,2019,8,6
EE,PL,2019,8,3
SK,PL,2019,8,26
BG,PL,2019,8,51
ES,PL,2019,8,12
BE,PL,2019,8,14
NL,PL,2019,8,18
LT,PL,2019,8,17
FI,PL,2019,8,5
GB,PL,2019,8,17
SE,PL,2019,8,12
SI,PL,2019,8,28
UA,PL,2019,8,65
IT,PL,2019,8,35
LV,PL,2019,8,17
GR,PL,2019,8,27
IS,PL,2019,8,0
TR,PL,2019,8,62
PT,PL,2019,8,7
CY,PL,2019,8,0
KZ,PL,2019,8,0
RU,PL,2019,8,70
BY,PL,2019,8,18
AZ,PL,2019,8,0
GE,PL,2019,8,86
AM,PL,2019,8,0
LU,PL,2019,8,25
ME,PL,2019,9,0
AD,PL,2019,9,0
HU,PL,2019,9,6
HR,PL,2019,9,7
BA,PL,2019,9,18
RS,PL,2019,9,15
FR,PL,2019,9,10
AL.,PL,2019,9,0
CH,PL,2019,9,3
MK,PL,2019,9,2
DK,PL,2019,9,6
IE,PL,2019,9,7
RO,PL,2019,9,12
DE,PL,2019,9,24
MD,PL,2019,9,0
AT,PL,2019,9,18
CZ,PL,2019,9,40
NO,PL,2019,9,12
EE,PL,2019,9,7
SK,PL,2019,9,33
